hotelName,stars,roomType,photoLink,seasons,extrabed,publishPrice,contractUntil
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Peak Season'}",Extrabed,"{'normal': nan, 'high': nan, 'peak': nan}",
Fave Sunset Seminyak ,3,Superior Suite,https://drive.google.com/drive/folders/17-wYRfNaSTjHaUQsLemZ8CV2IenG1iGI?usp=drive_link,"{'normal': 400000, 'high': 500000, 'peak': 650000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Villa,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Ecozy Dijiwa Canggu,3,Deluxe Room,https://drive.google.com/drive/folders/1frQpnhXVyy4jOfzb_qKniWtN4oneUtFm,"{'normal': 1100000, 'high': 1350000, 'peak': nan}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Ecozy Dijiwa Canggu,3,Deluxe Room,,"{'normal': 1200000, 'high': 1450000, 'peak': nan}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': nan}",Extrabed,"{'normal': nan, 'high': nan, 'peak': nan}",
TAPA AGUNG VIEW RENDANG KARANGASEM,3,Standard Room with Garden View (11) ,,"{'normal': 750000, 'high': 1150000, 'peak': 2250000}",450000,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': nan}",Extrabed,"{'normal': nan, 'high': nan, 'peak': nan}",
Swissbell Express Kuta,3,Express Room ,,"{'normal': 450000, 'high': 650000, 'peak': 650000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel or Villa,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Three Brother Villa Legian,3,Standard Room,700000,"{'normal': 800000, 'high': 900000, 'peak': datetime.datetime(2026, 3, 1, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel or Villa,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Kubu Sakian Sidemen Karangasem,3,Deluxe Pool,800000,"{'normal': 900000, 'high': 1000000, 'peak': datetime.datetime(2026, 3, 1, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel or Villa,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
