hotelName,stars,roomType,photoLink,seasons,extrabed,publishPrice,contractUntil
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season  ', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Swissbell Rainforest,4,Deluxe Room,https://drive.google.com/drive/folders/1UjxiZJ-PCQzFjrWcjJQB9Xjk-KfGqq8G?usp=sharing,"{'normal': 560000, 'high': 760000, 'peak': 300000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season  ', 'high': 'High Season', 'peak': 'Peak Season'}",Extrabed,"{'normal': nan, 'high': nan, 'peak': nan}",
Wina Holiday Villa Kuta,4,Superior Pool View,https://drive.google.com/drive/folders/1XzhAjfZEmnUBkv5rG-ktUVfC_4aR3ufb?usp=sharing,"{'normal': 600000, 'high': 800000, 'peak': 850000}",275000,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season  ', 'high': 'High Season', 'peak': 'Peak Season'}",Extrabed,"{'normal': nan, 'high': nan, 'peak': nan}",
The One Legian,4,Superior,https://bit.ly/TheONE-Image,"{'normal': 525000, 'high': 775000, 'peak': 925000}",-,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season  ', 'high': 'High Season', 'peak': nan}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': nan}",
Solia Legian,4,Solia Deluxe,https://linktr.ee/solialegian,"{'normal': 625000, 'high': 725000, 'peak': nan}",30-Sep-25,"{'normal': nan, 'high': nan, 'peak': nan}",
Solia Legian,4,Solia Deluxe,,"{'normal': 800000, 'high': 1000000, 'peak': 2100000}",31-Mar-26,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season  ', 'high': 'High Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
PAASHA ATELIER BALI KUTA,4,Superior Room,https://drive.google.com/drive/folders/1_76kxYF8d4GFGIgb7Vfq0UCnbgxeYWE0,"{'normal': 600000, 'high': 750000, 'peak': 'Booking window : 16 January – 30 June 2025 , Stay Period : 16 January – 23 December 2025 '}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season  ', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Wyndham Garden Kuta Beach Bali,4,Deluxe Room,https://drive.google.com/drive/folders/1EqOki6tA1CS_NUJMVYLbz_C1TjTHBXTR?usp=sharing,"{'normal': 850000, 'high': 1000000, 'peak': nan}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Beehouse Dijiwa Ubud,4,Suite,https://drive.google.com/drive/folders/17JIeBk1AzjtK05JF8Iss23_zmz7nyBMc,"{'normal': 2200000, 'high': 2700000, 'peak': 600000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Beehouse Dijiwa Ubud,4,Suite,,"{'normal': 2350000, 'high': 2850000, 'peak': 600000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Resort,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
The Artini Dijiwa Ubud,4,Premier Garden View,https://drive.google.com/drive/folders/12g8_uBd_O2m10RAa7D1aACp8rR8ZOKxz,"{'normal': 1100000, 'high': 1450000, 'peak': 350000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
The Artini Dijiwa Ubud,4,Premier Garden View,,"{'normal': 1200000, 'high': 1550000, 'peak': 350000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Villa,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Korurua Dijiwa Ubud,4,Grand Deluxe,https://drive.google.com/drive/folders/13F9aEil73HhIYXen35DhCZC4X6wdli8C,"{'normal': 1250000, 'high': 350000, 'peak': 550000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Korurua Dijiwa Ubud,4,Grand Deluxe,,"{'normal': 1350000, 'high': 700000, 'peak': 550000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Puri Saraswati Dijiwa Ubud,4,Grand Deluxe ,https://drive.google.com/drive/folders/1I4bDi-J1x0bje4Mo1Fw_JzLsUu5GPY3P,"{'normal': 1100000, 'high': 1450000, 'peak': 600000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Puri Saraswati Dijiwa Ubud,4,Grand Deluxe ,,"{'normal': 1150000, 'high': 1500000, 'peak': 600000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Blue Karma Village,4,Deluxe Joglo,https://drive.google.com/drive/folders/1zKwu-4b5S8p_LO27Vlv2kHXTt_gdLY_I,"{'normal': 2750000, 'high': 3250000, 'peak': 700000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Blue Karma Village,4,Deluxe Joglo,,"{'normal': 2950000, 'high': 3450000, 'peak': 700000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season  ', 'high': 'High Season', 'peak': nan}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': nan}",
Truntum Kuta,4,Deluxe Room,,"{'normal': 1350000, 'high': 1550000, 'peak': 3050000}",31-Mar-26,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': nan}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': nan}",
The Sankara Resort & Spa,4,Deluxe Room (16 Room),,"{'normal': 1860000, 'high': 2260000, 'peak': 4260000}",3/31/2026 0:00,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': nan}",Extrabed,"{'normal': nan, 'high': nan, 'peak': nan}",
The Hava Ubud,4,Deluxe Room ,,"{'normal': 1750000, 'high': 2200000, 'peak': 3550000}",550000,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': nan}",Extrabed,"{'normal': nan, 'high': nan, 'peak': nan}",
KAWI RESORT A PRAMANA EXPERIENCE,4,Deluxe Valley View ,,"{'normal': 1325000, 'high': 1725000, 'peak': 2275000}",500000,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Thewakanda A Pramana Experience ,4,Junior Suite Room,,"{'normal': 1550000, 'high': 1950000, 'peak': '-'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': nan}",Extrabed,"{'normal': nan, 'high': nan, 'peak': nan}",
KUWARASAN A PRAMANA EXPERIENCE ,Stars,Suite Pool View,,"{'normal': 2100000, 'high': 2600000, 'peak': 5000000}",650000,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
"SWAN PARADISE  
A PRAMANA EXPERIENCE ",4,Superior – (12 units)  ,,"{'normal': 1245000, 'high': 1645000, 'peak': '-'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Sovereign Bali Hotel,4,Deluxe Room,,"{'normal': 550000, 'high': 750000, 'peak': 250000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': nan}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': nan}",
Crystal Kuta Hotel,4,Deluxe Room (ada connecting) 22 sqm,https://drive.google.com/drive/folders/1HxAb9kH6Spo2guoANw6m2YCHUS5YvsqB?usp=sharing,"{'normal': 475000, 'high': 725000, 'peak': 1525000}",30-Jun-25,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Unagi Wooden Villas by Emana,4,Deluxe Wooden Room ,,"{'normal': 945000, 'high': 1245000, 'peak': 500000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Best Western Resort Kuta,4,Superior Room,https://drive.google.com/drive/folders/1FEKMFuPgf033ye10dRIqNAMVf1wXKSTn,"{'normal': 500000, 'high': 'untuk juli agutus bisa pakai harga campaign tanpa hss ', 'peak': nan}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Best Western Resort Kuta,4,Superior Room,https://storage.wefinite.com/BW-ResortKuta,"{'normal': 600000, 'high': 'HSS JULI-AGUSTUS WAIVE', 'peak': nan}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Best Western Kuta Villa,4,Superior (Lt.2),https://drive.google.com/drive/folders/1c8_VbBhZWH2S9M-lSK-e3O7QnMvRrl7e,"{'normal': 475000, 'high': 725000, 'peak': 250000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Ramada Encore Seminyak,4,Superior Room,,"{'normal': 625000, 'high': 975000, 'peak': nan}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': nan}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': nan}",
TAPA TEPI KALI ECHO BEACH CANGGU  ,4,Deluxe Pool View (12) ,875000,"{'normal': 1250000, 'high': 1250000, 'peak': 3050000}",3/31/2026 0:00,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Aston Sunset Beach Gili Trawangan,4,Deluxe Garden View,,"{'normal': 830420, 'high': 1280420, 'peak': 500000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Lovina Haven Boutique Resort ,4,Deluxe Garden View,https://bit.ly/LovinaHavenPhoto,"{'normal': 750000, 'high': 'JULY AGUSTUS HSS WAIVE', 'peak': 425000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
NIRWANA BEACH RESORT CANDIDASA,4,Premier Garden Room,,"{'normal': 1175000, 'high': 1425000, 'peak': 300000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
LOVINA BEACH CLUB & RESORT,4,Deluxe Garden Room,,"{'normal': 900000, 'high': 1150000, 'peak': 350000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Tri Dewi Residence Ubud,Stars,Standard Room,621000,"{'normal': 821000, 'high': 821000, 'peak': '31 March 2026'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Kailash Suites Ubud,Stars,Suite Garden View,742000,"{'normal': 942000, 'high': 942000, 'peak': '31 March 2026'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Manah Shanti suite Ubud,Stars,Bungalow,905000,"{'normal': 1105000, 'high': 1105000, 'peak': '31 March 2026'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Tebesaya Cottage Ubud,Stars,Deluxe Room,765000,"{'normal': 965000, 'high': 965000, 'peak': '31 March 2026'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Kesari Glory Hotel Nusa Penida,Stars,Standard Room,460000,"{'normal': 560000, 'high': 560000, 'peak': datetime.datetime(2025, 3, 31, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Four Star by Trans Hotel,Stars,Superior Room,600000,"{'normal': 750000, 'high': 850000, 'peak': datetime.datetime(2025, 3, 31, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Wyndham Jivva Klungkung,5,Superior Room,https://drive.google.com/drive/folders/1bI0yNvuY71uOV6Uofj-FGRx12fFMKw5f?usp=sharing,"{'normal': 1000000, 'high': 1250000, 'peak': 'No Extra Bed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Ramayana Suite & Resort,5,Grand Deluxe,https://drive.google.com/drive/u/0/folders/1c2g0phVLqtY2xOUJBTvquzZWkRBoVMJr,"{'normal': 1150000, 'high': 1400000, 'peak': 450000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': nan}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Bali Bintang Resort,5,Deluxe Room (D/T),,"{'normal': 1300000, 'high': 1500000, 'peak': 1600000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Aryaduta,5,Superior,https://drive.google.com/drive/folders/1uYBJO-ppanghCtpCHmMTo4FR8-slZRdS,"{'normal': 1500000, 'high': 1800000, 'peak': nan}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Kuta Paradiso Hotel,5,Deluxe Room,,"{'normal': 950000, 'high': 1100000, 'peak': datetime.datetime(2025, 9, 30, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Resort,Stars,Type Room,Link Room,"{'normal': 'Link Additional', 'high': 'Normal Season', 'peak': nan}",3D2N HONEYMOON PACKAGE NORMAL SEASON,"{'normal': nan, 'high': nan, 'peak': nan}",
Suara Alam Ubud,*****,Paddies Room,https://bit.ly/SuaraAlamUbud,"{'normal': 'https://bit.ly/ListDecorationAgent ', 'high': 850000, 'peak': 1300000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Visesa Ubud Resort,5,Jungle Suite,https://drive.google.com/drive/folders/1vYDSYCjyyjkt46T2LBG7hKWjDMU53C_z,"{'normal': 1830000, 'high': 2300000, 'peak': 750000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Pramana Watu Kurung,5,Pramana Suite (6 Unit),,"{'normal': 1850000, 'high': 2300000, 'peak': '-'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Bali Dynasty Resort,5,Deluxe Room,https://bdr.pphotels.com/photo-gallery/video/,"{'normal': 1730000, 'high': 2020000, 'peak': 450000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
The Kuta Beach Heritage Hotel Managed by ACCOR,5,Classic ,https://drive.google.com/drive/folders/1ik_1FzMfo1UaB-C6Tjc1NaesA3A2rbX_?usp=sharing,"{'normal': 1300000, 'high': 1700000, 'peak': 550000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Villa,Stars,Type Room,Link Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Arkamara Dijiwa Ubud,5,Suite Room,https://drive.google.com/drive/folders/1Kq6UZLLb0IN2snRO9D-uw9WFU0Lqur1R,"{'normal': 1900000, 'high': 2400000, 'peak': 650000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Arkamara Dijiwa Ubud,5,Suite Room,,"{'normal': 2050000, 'high': 2550000, 'peak': 650000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': nan}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': nan}",
The Alena Resort,5,Deluxe Room,,"{'normal': 1550000, 'high': 2000000, 'peak': 3700000}",3/31/2026 0:00,"{'normal': nan, 'high': nan, 'peak': nan}",
