hotelName,stars,roomType,photoLink,seasons,extrabed,contractUntil
Hotel Santika Kuta,3,Deluxe (All Market),,"{'normal': 775000, 'high': 1375000, 'peak': nan}",,
Rhadana Kuta,3,Business Thematic,,"{'normal': 350000, 'high': 550000, 'peak': 200000}",20-Dec-25,
Rhadana Kuta,3,Premium Thematic with balcony,,"{'normal': 480000, 'high': 680000, 'peak': nan}",,
Rhadana Kuta,3,Studio Thematic with balcony,,"{'normal': 670000, 'high': 870000, 'peak': nan}",,
Euphoria Hotel,3,Superior Suite,,"{'normal': 325000, 'high': 525000, 'peak': '31 March 2026'}",,
Euphoria Hotel,3,Deluxe Suite,,"{'normal': 450000, 'high': 550000, 'peak': nan}",,
Euphoria Hotel,3,Family Suite,,"{'normal': 750000, 'high': 850000, 'peak': nan}",,
Euphoria Hotel,3,Studio Room 2BR,,"{'normal': 950000, 'high': 1250000, 'peak': nan}",,
Euphoria Hotel,3,Studio Room 3BR,,"{'normal': 1250000, 'high': 1350000, 'peak': nan}",,
Fave Sunset Seminyak ,3,Superior Suite,,"{'normal': 400000, 'high': 500000, 'peak': 1000000}",,12/20/2025 0:00
Fave Sunset Seminyak ,3,Deluxe Suite,,"{'normal': 470000, 'high': 570000, 'peak': 1070000}",220000,
Fave Sunset Seminyak ,3,Family Suite,,"{'normal': 620000, 'high': 720000, 'peak': 1220000}",,
Nama Villa,Stars,Type Room,,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Batas Kontrak'}",,
Ecozy Dijiwa Canggu,3,Deluxe Room,,"{'normal': 1100000, 'high': 1350000, 'peak': '1 Apr 2025 – 31 Oct 2025 '}",,
Ecozy Dijiwa Canggu,3,Deluxe Room with Private Garden,,"{'normal': 1350000, 'high': 1600000, 'peak': nan}",,
Ecozy Dijiwa Canggu,3,Deluxe Room with Pool,,"{'normal': 1750000, 'high': 2000000, 'peak': nan}",,
Ecozy Dijiwa Canggu,3,Deluxe Room,,"{'normal': 1200000, 'high': 1450000, 'peak': '1 Nov 2025 – 31 Mar 2026'}",,
Ecozy Dijiwa Canggu,3,Deluxe Room with Private Garden,,"{'normal': 1450000, 'high': 1700000, 'peak': nan}",,
Ecozy Dijiwa Canggu,3,Deluxe Room with Pool,,"{'normal': 2000000, 'high': 2250000, 'peak': nan}",,
TAPA AGUNG VIEW RENDANG KARANGASEM,3,Standard Room with Garden View (11) ,,"{'normal': 750000, 'high': 1150000, 'peak': 2250000}",450000,3/31/2026 0:00
TAPA AGUNG VIEW RENDANG KARANGASEM,3,Deluxe Room with Mountain View  (14) ,,"{'normal': 1085000, 'high': 1485000, 'peak': 2585000}",,
TAPA AGUNG VIEW RENDANG KARANGASEM,3,One Bedroom Bungalow (5) ,,"{'normal': 1285000, 'high': 1685000, 'peak': 2785000}",,
Swissbell Express Kuta,3,Express Room ,,"{'normal': 450000, 'high': 650000, 'peak': 1010000}",,3/31/2026 0:00
Swissbell Express Kuta,3,Express Super Room ,,"{'normal': 480000, 'high': 680000, 'peak': 1040000}",250000,
Swissbell Express Kuta,3,Express Triple Room ,,"{'normal': 650000, 'high': 850000, 'peak': 1210000}",,
Three Brother Villa Legian,3,Standard Room,,"{'normal': 800000, 'high': 900000, 'peak': nan}",,
Three Brother Villa Legian,3,Deluxe Room ,,"{'normal': 950000, 'high': 1050000, 'peak': nan}",,
Three Brother Villa Legian,3,Deluxe Suite Room,,"{'normal': 1250000, 'high': 1350000, 'peak': nan}",,
Three Brother Villa Legian,3,Family Room,,"{'normal': 1550000, 'high': 1650000, 'peak': nan}",,
Kubu Sakian Sidemen Karangasem,3,Deluxe Pool,,"{'normal': 900000, 'high': 1000000, 'peak': nan}",,
Kubu Sakian Sidemen Karangasem,3,Deluxe Garden View,,"{'normal': 1000000, 'high': 1100000, 'peak': nan}",,
Dikubu Bali Villa and Suites Seminyak ,3,Deluxe room,,"{'normal': 600000, 'high': 700000, 'peak': nan}",,
Dikubu Bali Villa and Suites Seminyak ,3,Suite room ,,"{'normal': 675000, 'high': 775000, 'peak': nan}",,
Nama  Hotel,Stars,Type Room,,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': nan}",,
The Dewi Kintamani,3,Standard Tent (Weekdays)  ,,"{'normal': 650000, 'high': 750000, 'peak': nan}",,
The Dewi Kintamani,3,Standard Tent (Weekend) ,,"{'normal': 800000, 'high': 900000, 'peak': nan}",,
The Dewi Kintamani,3,Deluxe Tent (Weekdays) ,,"{'normal': 850000, 'high': 950000, 'peak': nan}",,
The Dewi Kintamani,3,Deluxe Tent (Weekend) ,,"{'normal': 1000000, 'high': 1100000, 'peak': nan}",,
The Dewi Kintamani,3,Deluxe Twin Tent with Share Pool (Weekdays) ,,"{'normal': 1100000, 'high': 1200000, 'peak': nan}",,
The Dewi Kintamani,3,Deluxe Twin Tent with Share Pool (Weekend) ,,"{'normal': 1250000, 'high': 1350000, 'peak': nan}",,
The Dewi Kintamani,3,Suite Tent Plunge Pool (Weekdays),,"{'normal': 1450000, 'high': 1550000, 'peak': nan}",,
The Dewi Kintamani,3,Suite Tent Plunge Pool  (Weekend) ,,"{'normal': 1600000, 'high': 1700000, 'peak': nan}",,
The Dewi Kintamani,3,Deluxe Suite Tent with Private Plunge Pool (Weekdays) ,,"{'normal': 1550000, 'high': 1650000, 'peak': nan}",,
The Dewi Kintamani,3,Deluxe Suite Tent with Private Plunge Pool (Weekend),,"{'normal': 1700000, 'high': 1800000, 'peak': nan}",,
The Dewi Premier Nusa Penida ,3,Terrace,,"{'normal': 850000, 'high': 950000, 'peak': nan}",,
The Dewi Premier Nusa Penida ,3,Balcony,,"{'normal': 900000, 'high': 1000000, 'peak': nan}",,
The Dewi Premier Nusa Penida ,3,Terrace,,"{'normal': 850000, 'high': 950000, 'peak': nan}",,
The Dewi Premier Nusa Penida ,3,Balcony,,"{'normal': 900000, 'high': 1000000, 'peak': nan}",,
